2026-05-19T17:04:00.719Z [DEBUG] [config.AppConfig    ] [Config] Carregado: station.properties
2026-05-19T17:04:00.721Z [DEBUG] [config.AppConfig    ] [Config] Carregado: station-local.properties
2026-05-19T17:04:00.721Z [INFO ] [config.AppConfig    ] [Config] station-local.properties carregado — sobrescrevendo valores base.
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ╔══════════════════════════════════════════╗
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║       Configuração Carregada             ║
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ╠══════════════════════════════════════════╣
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ Estação ID : estacao_01
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ Broker     : 192.168.1.100:1883
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ Tópico     : ambiente/estacao/estacao_01/telemetria
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ Status     : ambiente/estacao/estacao_01/status
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ Intervalo  : 10000 ms
2026-05-19T17:04:00.725Z [INFO ] [config.AppConfig    ] ║ QoS        : 1
2026-05-19T17:04:00.726Z [INFO ] [config.AppConfig    ] ║ Lat/Lon    : -5.207645788981328, -37.32216460818565
2026-05-19T17:04:00.726Z [INFO ] [config.AppConfig    ] ║ Seed       : 42
2026-05-19T17:04:00.726Z [INFO ] [config.AppConfig    ] ╚══════════════════════════════════════════╝
2026-05-19T17:04:00.727Z [INFO ] [sensor.SensorSim    ] [Sensor] Inicializado | seed=42 | temp_base=29.0°C | hum_base=71.0%
2026-05-19T17:04:00.727Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=1 | tmp=29.46 | hum=71.5 | pres=1013.39 | co2=412.2 | uv=1.4 | rssi=-47
2026-05-19T17:04:00.727Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=2 | tmp=28.67 | hum=70.0 | pres=1013.62 | co2=418.7 | uv=1.5 | rssi=-52
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=3 | tmp=29.56 | hum=70.2 | pres=1013.31 | co2=415.9 | uv=1.1 | rssi=-48
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=4 | tmp=28.52 | hum=71.5 | pres=1014.14 | co2=416.1 | uv=1.4 | rssi=-40
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=5 | tmp=28.89 | hum=71.0 | pres=1014.05 | co2=414.2 | uv=1.2 | rssi=-66
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=6 | tmp=29.57 | hum=69.6 | pres=1013.08 | co2=412.7 | uv=0.5 | rssi=-65
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=7 | tmp=28.95 | hum=72.1 | pres=1013.59 | co2=415.7 | uv=1.2 | rssi=-66
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=8 | tmp=28.81 | hum=70.7 | pres=1014.01 | co2=414.9 | uv=1.0 | rssi=-38
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=9 | tmp=29.46 | hum=69.9 | pres=1014.0 | co2=410.2 | uv=1.4 | rssi=-51
2026-05-19T17:04:00.728Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=10 | tmp=29.56 | hum=69.5 | pres=1013.76 | co2=416.4 | uv=1.1 | rssi=-48
2026-05-19T17:04:00.729Z [DEBUG] [sensor.SensorSim    ] [Sensor] seq=11 | tmp=29.88 | hum=70.1 | pres=1013.11 | co2=416.0 | uv=1.4 | rssi=-59
